titel,prijs,locatie,heeft_tuin,heeft_terras,heeft_zonnepanelen,afstand_centrum,buurtveiligheid,staat_pand,bouwjaar,slaapkamers,oppervlakte_slaapkamer_1,oppervlakte_slaapkamer_2,oppervlakte_slaapkamer_3,oppervlakte_slaapkamer_4,oppervlakte_slaapkamer_5,oppervlakte_slaapkamer_6,oppervlakte,bewoonbare_opp,oppervlakte_woonruimte,zolder,oppervlakte_zolder,kelder,oppervlakte_kelder,garage,aantal_garages,aantal_parkeerplaatsen,bemeubeld,oppervlakte_keuken,keukenuitrusting,badkamers,aantal_douchecabines,aantal_baden,aantal_toiletten,type_verwarming,type_glas,lift,toegang_mindervaliden,aantal_gevels,breedte_voorgevel,aantal_verdiepingen,terras,oppervlakte_terras,totale_opp,diepte_perceel,breedte_voorkant_terras,aansluiting_riolering,aansluiting_waterleiding,aansluiting_gasleiding,zwembad,tuin
Handelspand te koop,695000,2200 Herentals,0,0,0,5.0,7,Normaal,1979,2,None,None,None,None,None,None,433.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,145000,8660 De Panne,0,0,0,5.0,7,None,1979,1,None,None,None,None,None,None,37.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,405000,2800 Mechelen,0,0,0,5.0,7,Normaal,None,2,None,None,None,None,None,None,248.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,150000,6061 Montignies-sur-Sambre,0,0,0,5.0,7,Normaal,None,3,None,None,None,None,None,None,143.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,225000,7100 La Louvière,0,0,0,5.0,7,Normaal,None,5,None,None,None,None,None,None,261.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,185000,6220 Lambusart,0,0,0,5.0,7,Te renoveren,None,3,None,None,None,None,None,None,139.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,145000,4000 Luik,0,0,0,5.0,7,Te renoveren,1969,1,None,None,None,None,None,None,2.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Handelspand te koop,165000,5140 Sombreffe,0,0,0,5.0,7,Te renoveren,None,2,None,None,None,None,None,None,85.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Kantoor te koop,165000,5140 Sombreffe,0,0,0,5.0,7,Te renoveren,None,2,None,None,None,None,None,None,85.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Opbrengsteigendom te koop,750000,6120 Jamioulx,0,0,0,5.0,7,Normaal,1920,2,None,None,None,None,None,None,365.0,80.0,None,None,None,None,None,None,2,2,None,None,None,6,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
